Estacion,Longitud,Latitud,Evel,Nvel,Uvel,Magnitud,Direccion,PAIS
PSTO,-77.277082,1.211709,4.251,15.44,0,16.0145122,15.39349964,COLOMBIA
QUEM,-78.497,-0.237,9.48,14.38,0,17.22366976,33.39482619,ECUADOR
QUI1,-78.494,-0.215,12.79,6.95,0,14.55632509,61.48064052,ECUADOR
QUIB,-76.656731,5.699637,3.841,16.03,0,16.48375506,13.47477781,COLOMBIA
QVEC,-79.47,-1.012,8.74,8.13,0,11.93668715,47.07084797,ECUADOR
RIOH,-72.869699,11.513221,10.27,16.54,0,19.46906521,31.83693092,COLOMBIA
RIOP,-78.651,-1.651,1.63,6.92,0,7.109381126,13.25436393,ECUADOR
RUBI,-71.423764,3.793398,-3.89,10.8,0,11.47920293,-19.8082688,COLOMBIA
SAGA,-67.057781,-0.143853,-4,11.5,0,12.17579566,-19.17900803,BRASIL
SAMA,-74.187095,11.225252,10.74,15.85,0,19.14602047,34.12166599,COLOMBIA
SCEC,-89.61498333,-0.9026889,52,8.8,0,52.73935912,80.39479584,ECUADOR
SEEC,-80.904,-2.22,9.85,13.14,0,16.42200049,36.85594179,ECUADOR
SINC,-75.387688,9.315625,11.46,12.3,0,16.81135331,42.97523492,COLOMBIA
SNLR,-78.847,1.293,10.36,8.53,0,13.41978018,50.53335619,ECUADOR
SNSN,-75.308342,5.715076,4.925,15.6,0,16.35896161,17.52117385,COLOMBIA
STEC,-78.011,-3.051,0.5,8.27,0,8.285101086,3.459862163,ECUADOR
TNEC,-77.816,-0.99,-1.12,12,0,12.05215333,-5.332158882,ECUADOR
TUMA,-78.730413,1.822289,14.73,12.92,0,19.59334836,48.74530233,COLOMBIA
TUNA,-73.36389,5.531339,1.157,14.71,0,14.75543117,4.4972821,COLOMBIA
VALL,-73.25196,10.473964,8.66,15.18,0,17.47649851,29.70421716,COLOMBIA
VIVI,-73.583996,4.074673,-4,11.84,0,12.49742373,-18.66691427,COLOMBIA
YOPA,-72.388994,5.32176,-3.1,12.67,0,13.04373029,-13.74859508,COLOMBIA
ZARZ,-76.067578,4.396617,4.187,15.34,0,15.90114993,15.26681165,COLOMBIA
